No,Concepto,Definición
1,Abastecimiento de agua potable,"Suministro de agua potable a la población a través de una red hidrológica con fines de uso particular, agrícola, pecuario, entre otros.

Fuente: 
Definición elaborada en base a la consulta y análisis de documentos de interés en las temáticas de ordenamiento territorial y desarrollo urbano.

"
2,Accesibilidad,"Facilidad de dirigirse y llegar a diferentes destinos.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Programa Sectorial de Desarrollo Agrario, Territorial y Urbano 2013-2018.

Sitio(s) web:
http://www.dof.gob.mx/nota_detalle.php?codigo=5326473&fecha=16/12/2013
"
3,Acceso de peatones,"Condición de las vialidades según presenten tránsito libre o restringido para personas a pie.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
4,Acción urbanística,"Actos o actividades tendientes al uso o aprovechamiento del suelo dentro de Áreas Urbanizadas o Urbanizables, tales como subdivisiones, parcelaciones, fusiones, relotificaciones, fraccionamien- tos, condominios, conjuntos urbanos o urbanizaciones en general, así como de construcción, ampliación, remodelación, reparación, demolición o reconstrucción de inmuebles, de propiedad pública o privada, que por su naturaleza están determinadas en los planes o programas de desarrollo urbano o cuentan con los permisos correspondientes. Comprende también la realización de obras de equipamiento, infraestructura o Servicios Urbanos.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. I).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
5,Acuífero,"Formación geológica o conjunto de formaciones geológicas hidráulicamente conectados entre sí, por las que circulan o se almacenan aguas del subsuelo que pueden ser extraídas para su explotación, uso o aprovechamiento y cuyos límites laterales y verticales se definen convencionalmente para fines de evaluación, manejo y administración de las aguas nacionales del subsuelo.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
6,Activación de espacios públicos,"Es un proceso participativo que involucra tanto a las autoridades locales, como a las personas que habitan en torno a los espacios. Considera su uso y apropiación como un ejercicio colaborativo de cuidado y disfrute, donde se promueve la generación de un vínculo emocional y de orgullo por el barrio, a la par se fortalecen las acciones de trabajo colectivo de corresponsabilidad.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). Activación con perspectiva de género. Guía para aprovechamiento y Operación de equipamientos urbanos y espacios públicos con perspectiva de género. (México). SEDATU.

"
7,Administración de plusvalías,"Instrumento de gestión urbanística en la que la administración pública participa en la generación de valor sobre el suelo urbano susceptible de establecerse como bien de intercambio. Dado que el valor que este bien genera está construido socialmente por diferentes tipos de externalidades, parte del beneficio debería ser redituado a la sociedad que ha construido su valor, el mecanismo más importante para ello es el Impuesto de Plusvalía.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Programa Nacional de Desarrollo Urbano 2014- 2018. Glosario.

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5342867&fecha=30/04/2014
"
8,Administración urbana,"Es la estructura de orden público, establecida bajo un marco de actuación programática institucional, para operar, controlar y regular las actividades que inciden en el medio urbano y que contempla la emisión de las resoluciones administrativas de las diversas acciones urbanas en materia de regulación de usos y destinos de suelo y autorización de fusión, división, fraccionamientos, condominios, conjuntos urbanos, en sus distintas variables de modificación o regularización.

Fuente: 
Gobierno del Estado de Morelos. (2019). Ley de Ordenamiento Territorial y Desarrollo Urbano Sustentable del Estado de Morelos. Morelos: Congreso del Estado de Morelos.

"
9,Aglomeración urbana,"Conjunto urbanizado formado por una ciudad principal y una serie de núcleos que se van uniendo espacialmente a la primera, pero continúan como municipios autónomos, sin depender del núcleo principal jurídicamente.

Fuente: 
Términos geográficos. Tema 7. Urbanismo.

Sitio(s) web:
https://es.slideshare.net/carmencamacho74/trminos-urbanismo
"
10,Agua residual,"Agua contaminada no purificada, proveniente de las unidades industriales, de los hogares, o agua de lluvia contaminada por los asentamientos urbanos.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
