Concepto,Definición
Abastecimiento de agua potable,"suministro de agua potable a la población a través de una red hidrológica con fines de uso particular, agrícola, pecuario, entre otros

Fuente: 
Definición elaborada en base a la consulta y análisis de documentos de interés en las temáticas de Ordenamiento Territorial y Desarrollo Urbano.

Sitio(s) web: 
No hay URLs
"
Accesibilidad,"facilidad de dirigirse y llegar a diferentes destinos

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Programa Sectorial de Desarrollo Agrario, Territorial y Urbano 2013-2018.

Sitio(s) web:
http://www.dof.gob.mx/nota_detalle.php?codigo=5326473&fecha=16/12/2013
"
Acceso de peatones,"condición de las vialidades según presenten tránsito libre o restringido para personas a pie

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
Acción urbanística,"actos o actividades tendientes al uso o aprovechamiento del suelo dentro de Áreas Urbanizadas o Urbanizables, tales como subdivisiones, parcelaciones, fusiones, relotificaciones, fraccionamientos, condominios, conjuntos urbanos o urbanizaciones en general, así como de construcción, ampliación, remodelación, reparación, demolición o reconstrucción de inmuebles, de propiedad pública o privada, que por su naturaleza están determinadas en los planes o programas de Desarrollo Urbano o cuentan con los permisos correspondientes. Comprende también la realización de obras de equipamiento, infraestructura o Servicios Urbanos

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. I).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
Acuífero,"formación geológica o conjunto de formaciones geológicas hidráulicamente conectados entre sí, por las que circulan o se almacenan aguas del subsuelo que pueden ser extraídas para su explotación, uso o aprovechamiento y cuyos límites laterales y verticales se definen convencionalmente para fines de evaluación, manejo y administración de las aguas nacionales del subsuelo

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Activación de espacios públicos,"es un proceso participativo que involucra tanto a las autoridades locales, como a las personas que habitan en torno a los espacios. Considera su uso y apropiación como un ejercicio colaborativo de cuidado y disfrute, donde se promueve la generación de un vínculo emocional y de orgullo por el barrio, a la par se fortalecen las acciones de trabajo colectivo de corresponsabilidad

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). Activación con perspectiva de género. Guía para aprovechamiento y Operación de equipamientos urbanos y espacios públicos con perspectiva de género. (México). SEDATU.

Sitio(s) web: 
No hay URLs
"
Administración de plusvalías,"instrumento de gestión urbanística en la que la administración pública participa en la generación de valor sobre el suelo urbano susceptible de establecerse como bien de intercambio. Dado que el valor que este bien genera está construido socialmente por diferentes tipos de externalidades, parte del beneficio debería ser redituado a la sociedad que ha construido su valor, el mecanismo más importante para ello es el Impuesto de Plusvalía

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Programa Nacional de Desarrollo Urbano 2014-2018. Glosario.

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5342867&fecha=30/04/2014
"
Administración urbana,"es la estructura de orden público, establecida bajo un marco de actuación programática institucional, para operar, controlar y regular las actividades que inciden en el medio urbano y que contempla la emisión de las resoluciones administrativas de las diversas acciones urbanas en materia de regulación de usos y destinos de suelo y autorización de fusión, división, fraccionamientos, condominios, conjuntos urbanos, en sus distintas variables de modificación o regularización

Fuente: 
Gobierno del Estado de Morelos. (2019). Ley de Ordenamiento Territorial y Desarrollo Urbano Sustentable del Estado de Morelos. Morelos: Congreso del Estado de Morelos.

Sitio(s) web: 
No hay URLs
"
Aglomeración urbana,"conjunto urbanizado formado por una ciudad principal y una serie de núcleos que se van uniendo espacialmente a la primera, pero continúan como municipios autónomos, sin depender del núcleo principal jurídicamente

Fuente: 
Términos geográficos. Tema 7. Urbanismo.

Sitio(s) web:
https://es.slideshare.net/carmencamacho74/trminos-urbanismo
"
Agua residual,"agua contaminada no purificada, proveniente de las unidades industriales, de los hogares, o agua de lluvia contaminada por los asentamientos urbanos

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Agua subterránea,"agua dulce encontrada debajo de la superficie terrestre, normalmente en mantos acuíferos, los cuales abastecen a pozos y manantiales

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Alcantarillado,"conjunto de conductos subterráneos llamados alcantarillas, que transportan el agua residual o pluvial

Fuente: 
SD. (SD). Abastecimiento de Agua Potable y Alcantarillado. México: SD.

Sitio(s) web: 
No hay URLs
"
Alineamiento,"la delimitación sobre un área, lote o predio en el frente a la vía pública o privada en uso o proyecto, que define la posición permisible del inicio de la superficie edificable, respetando en su caso, las restricciones que se hayan establecido de acuerdo a la legislación y en los programas aplicables. El alineamiento oficial se consignará en la constancia municipal de compatibilidad urbanística

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

Sitio(s) web: 
No hay URLs
"
Alumbrado público,"luminarias que colocan las autoridades de gobierno en las vialidades con el fin proporcionar visibilidad nocturna

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
Analfabetismo,"falta de instrucción elemental en un país, referida especialmente al número de sus ciudadanos que no saben leer

Fuente: 
Real Academia Española. Diccionario de la Lengua Española.

Sitio(s) web:
http://dle.rae.es/?id=2Vc97Mk
"
Análisis de vulnerabilidad,"es el proceso mediante el cual se determina el nivel de exposición y la predisposición a la pérdida de un elemento o grupo de elementos ante una amenaza específica; contribuye al conocimiento del riesgo a través de interacciones de dichos elementos con el ambiente peligroso

Fuente: 
Hábitat International Coalition. América Latina (HIC-AL). (2017). Glosario. 18 de diciembre de 2017, de HIC-AL.

Sitio(s) web:
https://www.desenredando.org/public/libros/1993/ldnsn/html/cap3.htm
"
Análisis urbano,"estudio que tiene por objeto conocer la composición y funcionamiento de la estructura urbana en sus aspectos físico, económico, ambiental y social

Fuente: 
Normand Eduardo Asuad. (SD). El Fenómeno Metropolitano: Enfoques, Desafíos y Soluciones. México: SD.

Sitio(s) web: 
No hay URLs
"
Andadores,"vía destinada exclusivamente al tránsito de peatones, equipada con mobiliario urbano, de uso público y que puede contar, o no, con áreas ajardinadas o elementos ornamentales para su mejora y disfrute

Fuente: 
Definición elaborada con base en la consulta y análisis de documentos de interés en las temáticas de Ordenamiento Territorial y Desarrollo Urbano.

Sitio(s) web: 
No hay URLs
"
Aprovechamiento sustentable,"la utilización de los elementos naturales de forma eficiente y socialmente útil, en la que se respete la integridad funcional y permanencia de carga de los ecosistemas, de los que forman parte dichos elementos, por períodos indefinidos

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Área de conservación,"un área de especial interés debido a su vida silvestre, rasgos naturales o valor histórico que es protegida por leyes o regulaciones para salvaguardar y conservar su carácter, viabilidad y apariencia para futuras generaciones

Fuente: 
Tesauro 2013 de la Biblioteca Agrícola Nacional de los Estados Unidos. (2013). Glosario del Boletín Agrario. de Boletín Agrario.COM

Sitio(s) web:
https://boletinagrario.com/ap-6,areas+de+conservacion,1436.html
"
Aptitud del territorio,"el mejor uso que se le puede dar al suelo, tomando en cuenta sus atributos naturales y socioeconómicos

Fuente: 
Honorable Congreso del Estado de Sonora. (2006). Ley de Ordenamiento Territorial y Desarrollo Urbano del Estado de Sonora. de El H. Congreso del Estado Libre y Soberano de Sonora

Sitio(s) web:
http://www.proteccioncivil.sonora.gob.mx/images/ordenamientoterritorial.pdf
"
Áreas prioritarias,"son los sitios en los que se enfocan los esfuerzos para generar la mayor cantidad de beneficios de tipo ambiental y social, optimizando así los recursos económicos y humanos en pro de una conservación eficaz

Fuente: 
Orinoco Sostenible. (2020). Áreas prioritarias. de Orinoco Sostenible

Sitio(s) web:
https://conservacionfpo.org/about/areas-prioritarias/#:~:text=Las%20%C3%A1reas%20prioritarias%20son%20los,pro%20de%20una%20conservaci%C3%B3n%20eficaz.
"
